arquitetura,cenario,hora,barra,tensao_maxima_pu,tensao_minima_pu,numero_de_fases,fases_com_sobretensao,fases_com_subtensao,barra_com_sobretensao,barra_com_subtensao
sem_controle,sem_controle,0,800,1.0505970659065016,1.050465621272126,3,1,0,True,False
sem_controle,sem_controle,0,802,1.050442119906652,1.0499175296126153,3,0,0,False,False
sem_controle,sem_controle,0,806,1.0503505197609486,1.0495462333245447,3,0,0,False,False
sem_controle,sem_controle,0,808,1.0488218033342502,1.0425063538380583,3,0,0,False,False
sem_controle,sem_controle,0,810,1.048188167327346,1.048188167327346,1,0,0,False,False
sem_controle,sem_controle,0,812,1.046768318932286,1.034227825068756,3,0,0,False,False
sem_controle,sem_controle,0,812r,1.0468168682522103,1.034236992019836,3,0,0,False,False
sem_controle,sem_controle,0,814,1.045077718201484,1.027567418738861,3,0,0,False,False
sem_controle,sem_controle,0,850,1.0450761113146871,1.027563807657845,3,0,0,False,False
sem_controle,sem_controle,0,816,1.0450262948633384,1.0274518607173089,3,0,0,False,False
sem_controle,sem_controle,0,818,1.0270438965782038,1.0270438965782038,1,0,0,False,False
sem_controle,sem_controle,0,824,1.0435191673339028,1.0255439935670978,3,0,0,False,False
sem_controle,sem_controle,0,820,1.0165401660583828,1.0165401660583828,1,0,0,False,False
sem_controle,sem_controle,0,822,1.0151808172132315,1.0151808172132315,1,0,0,False,False
sem_controle,sem_controle,0,826,1.042826580743608,1.042826580743608,1,0,0,False,False
sem_controle,sem_controle,0,828,1.043388151795147,1.0253889270472434,3,0,0,False,False
sem_controle,sem_controle,0,830,1.0402417834114017,1.0216582476635774,3,0,0,False,False
sem_controle,sem_controle,0,854,1.040169708668016,1.0215732447429904,3,0,0,False,False
sem_controle,sem_controle,0,832,1.0350545283587615,1.0155980183234488,3,0,0,False,False
sem_controle,sem_controle,0,858,1.0346026047163692,1.0150201159766392,3,0,0,False,False
sem_controle,sem_controle,0,834,1.034108274112103,1.014368273257929,3,0,0,False,False
sem_controle,sem_controle,0,860,1.0339366785608923,1.0141668112492161,3,0,0,False,False
sem_controle,sem_controle,0,842,1.0341183743737599,1.014373917145771,3,0,0,False,False
sem_controle,sem_controle,0,836,1.0338727280172753,1.0140721456722657,3,0,0,False,False
sem_controle,sem_controle,0,840,1.0338604838046281,1.0140607431039375,3,0,0,False,False
sem_controle,sem_controle,0,862,1.0338746510351777,1.0140714735707803,3,0,0,False,False
sem_controle,sem_controle,0,844,1.0341672767754213,1.014407924784706,3,0,0,False,False
sem_controle,sem_controle,0,846,1.0345427033559205,1.0147418289988297,3,0,0,False,False
sem_controle,sem_controle,0,848,1.0345999499540972,1.0147898321041684,3,0,0,False,False
sem_controle,sem_controle,0,852r,1.0350559353200477,1.0155996680234016,3,0,0,False,False
sem_controle,sem_controle,0,856,1.0394169629504513,1.0394169629504513,1,0,0,False,False
sem_controle,sem_controle,0,852,1.035010643808261,1.015563914445252,3,0,0,False,False
sem_controle,sem_controle,0,864,1.0150180219728144,1.0150180219728144,1,0,0,False,False
sem_controle,sem_controle,0,838,1.032186435863737,1.032186435863737,1,0,0,False,False
sem_controle,sem_controle,1,800,1.0505970903489994,1.0504656592070762,3,1,0,True,False
sem_controle,sem_controle,1,802,1.0504421506908703,1.0499176270417225,3,0,0,False,False
sem_controle,sem_controle,1,806,1.0503505548047232,1.0495463706505237,3,0,0,False,False
sem_controle,sem_controle,1,808,1.048821918763143,1.0425072349613749,3,0,0,False,False
sem_controle,sem_controle,1,810,1.0481887656268083,1.0481887656268083,1,0,0,False,False
sem_controle,sem_controle,1,812,1.0467685320006868,1.0342295710325544,3,0,0,False,False
sem_controle,sem_controle,1,812r,1.046817083288685,1.0342387443415293,3,0,0,False,False
sem_controle,sem_controle,1,814,1.0450780124079326,1.0275698568365201,3,0,0,False,False
sem_controle,sem_controle,1,850,1.0450764055625157,1.027566246055932,3,0,0,False,False
sem_controle,sem_controle,1,816,1.0450265903941263,1.0274543084287893,3,0,0,False,False
sem_controle,sem_controle,1,818,1.0270463856582657,1.0270463856582657,1,0,0,False,False
sem_controle,sem_controle,1,824,1.043519497117978,1.0255465639190633,3,0,0,False,False
sem_controle,sem_controle,1,820,1.0165438223664736,1.0165438223664736,1,0,0,False,False
sem_controle,sem_controle,1,822,1.015184644370305,1.015184644370305,1,0,0,False,False
sem_controle,sem_controle,1,826,1.042828430103731,1.042828430103731,1,0,0,False,False
sem_controle,sem_controle,1,828,1.0433884847070511,1.0253915074168265,3,0,0,False,False
sem_controle,sem_controle,1,830,1.0402421909746427,1.0216610665055357,3,0,0,False,False
sem_controle,sem_controle,1,854,1.040170118128748,1.0215760695095126,3,0,0,False,False
sem_controle,sem_controle,1,832,1.0350550780786294,1.015601266970893,3,0,0,False,False
sem_controle,sem_controle,1,858,1.0346031727925793,1.01502342198706,3,0,0,False,False
sem_controle,sem_controle,1,834,1.034108860544601,1.014371644197849,3,0,0,False,False
sem_controle,sem_controle,1,860,1.0339372687538988,1.0141701966671426,3,0,0,False,False
sem_controle,sem_controle,1,842,1.0341189610112311,1.0143772891206606,3,0,0,False,False
sem_controle,sem_controle,1,836,1.0338733197815824,1.0140755390790348,3,0,0,False,False
sem_controle,sem_controle,1,840,1.0338610758590168,1.01406413723379,3,0,0,False,False
sem_controle,sem_controle,1,862,1.0338752424976245,1.0140748670645638,3,0,0,False,False
sem_controle,sem_controle,1,844,1.034167864370519,1.0144113009721827,3,0,0,False,False
sem_controle,sem_controle,1,846,1.0345432938219983,1.0147452154995886,3,0,0,False,False
sem_controle,sem_controle,1,848,1.034600541074101,1.0147932200170944,3,0,0,False,False
sem_controle,sem_controle,1,852r,1.0350564850023793,1.0156029165559217,3,0,0,False,False
sem_controle,sem_controle,1,856,1.039419318304974,1.039419318304974,1,0,0,False,False
sem_controle,sem_controle,1,852,1.0350111915839495,1.0155671602025296,3,0,0,False,False
sem_controle,sem_controle,1,864,1.0150213282495861,1.0150213282495861,1,0,0,False,False
sem_controle,sem_controle,1,838,1.032189922205573,1.032189922205573,1,0,0,False,False
sem_controle,sem_controle,2,800,1.0505949800956955,1.0504630917609739,3,1,0,True,False
sem_controle,sem_controle,2,802,1.0504383100910248,1.0499123968389634,3,0,0,False,False
sem_controle,sem_controle,2,806,1.050345583966259,1.0495393466799148,3,0,0,False,False
sem_controle,sem_controle,2,808,1.0487964355845671,1.0424666098959017,3,0,0,False,False
sem_controle,sem_controle,2,810,1.0481610847013683,1.0481610847013683,1,0,0,False,False
sem_controle,sem_controle,2,812,1.046718833165436,1.0341498828318785,3,0,0,False,False
sem_controle,sem_controle,2,812r,1.0467671523330875,1.0341587132466745,3,0,0,False,False
sem_controle,sem_controle,2,814,1.0450088710589713,1.0274588360440298,3,0,0,False,False
sem_controle,sem_controle,2,850,1.0450072554978003,1.0274552116814604,3,0,0,False,False
sem_controle,sem_controle,2,816,1.0449571701348623,1.0273428530041218,3,0,0,False,False
sem_controle,sem_controle,2,818,1.0269338663940255,1.0269338663940255,1,0,0,False,False
sem_controle,sem_controle,2,824,1.0434413812534846,1.0254259718878282,3,0,0,False,False
sem_controle,sem_controle,2,820,1.0164042416847618,1.0164042416847618,1,0,0,False,False
sem_controle,sem_controle,2,822,1.0150416029181226,1.0150416029181226,1,0,0,False,False
sem_controle,sem_controle,2,826,1.0427466466626951,1.0427466466626951,1,0,0,False,False
sem_controle,sem_controle,2,828,1.0433096369965242,1.0252701676677856,3,0,0,False,False
sem_controle,sem_controle,2,830,1.0401456464219774,1.021521653823189,3,0,0,False,False
sem_controle,sem_controle,2,854,1.0400731417165847,1.021436220174413,3,0,0,False,False
sem_controle,sem_controle,2,832,1.0349271785104095,1.0154301567709048,3,0,0,False,False
sem_controle,sem_controle,2,858,1.034471726375553,1.0148486786252158,3,0,0,False,False
sem_controle,sem_controle,2,834,1.0339733025742324,1.0141926757982367,3,0,0,False,False
sem_controle,sem_controle,2,860,1.0338012965479217,1.013990740867902,3,0,0,False,False
sem_controle,sem_controle,2,842,1.0339832860933893,1.0141982058662071,3,0,0,False,False
sem_controle,sem_controle,2,836,1.0337371900450572,1.0138958521193955,3,0,0,False,False
sem_controle,sem_controle,2,840,1.0337249167719995,1.0138844230954527,3,0,0,False,False
sem_controle,sem_controle,2,862,1.0337391175893764,1.0138951787864796,3,0,0,False,False
sem_controle,sem_controle,2,844,1.0340316262835123,1.0142316813546173,3,0,0,False,False
sem_controle,sem_controle,2,846,1.0344068104184383,1.014565330159918,3,0,0,False,False
sem_controle,sem_controle,2,848,1.0344640288515496,1.014613294760857,3,0,0,False,False
sem_controle,sem_controle,2,852r,1.034928593771547,1.0154318148036907,3,0,0,False,False
sem_controle,sem_controle,2,856,1.0393179803949264,1.0393179803949264,1,0,0,False,False
sem_controle,sem_controle,2,852,1.0348835181641336,1.0153962968335988,3,0,0,False,False
sem_controle,sem_controle,2,864,1.0148465787640022,1.0148465787640022,1,0,0,False,False
sem_controle,sem_controle,2,838,1.0320469811052846,1.0320469811052846,1,0,0,False,False
sem_controle,sem_controle,3,800,1.0505949776249717,1.0504630860167596,3,1,0,True,False
sem_controle,sem_controle,3,802,1.0504383060552551,1.049912382577582,3,0,0,False,False
sem_controle,sem_controle,3,806,1.0503455788797513,1.0495393267076596,3,0,0,False,False
sem_controle,sem_controle,3,808,1.0487964107338041,1.0424664835696937,3,0,0,False,False
sem_controle,sem_controle,3,810,1.0481610455769017,1.0481610455769017,1,0,0,False,False
